CustomerID,Age,Annual Income,Spending Score
1,56,73053,58
2,69,36959,67
3,46,20530,46
4,32,109856,24
5,60,18748,32
6,25,112504,47
7,38,113098,86
8,56,28545,23
9,36,81199,66
10,40,49766,27
11,28,88530,2
12,28,108557,90
13,41,76087,17
14,53,110839,33
15,57,83840,9
16,41,69384,43
17,20,66005,48
18,39,61576,39
19,19,54353,93
20,41,77003,42
21,61,98211,26
22,47,67733,99
23,55,80318,50
24,19,104474,25
25,38,38664,24
26,50,82172,13
27,29,100616,60
28,39,108264,7
29,61,41736,57
30,42,109209,36
31,66,118041,45
32,44,15854,20
33,59,105084,65
34,45,53623,8
35,33,22392,16
36,32,70680,14
37,64,61717,76
38,68,102092,87
39,61,65859,15
40,69,119095,92
41,20,41309,98
42,54,102455,66
43,68,78734,32
44,24,85467,87
45,38,67662,63
46,26,113506,86
47,56,27688,51
48,35,40342,25
49,21,52157,58
50,42,82863,63
51,31,67083,62
52,67,80733,22
53,26,104045,58
54,43,49698,58
55,19,95623,86
56,37,37671,49
57,45,40184,52
58,64,108384,42
59,24,57107,70
60,61,101202,15
61,25,66663,54
62,64,30708,60
63,52,106906,97
64,31,64811,8
65,34,17811,53
66,53,71250,60
67,67,87082,5
68,57,49754,68
69,21,110742,6
70,19,26411,96
71,23,17911,94
72,59,82270,47
73,21,98763,99
74,46,23680,55
75,35,99896,40
76,43,98879,52
77,61,86295,16
78,51,103614,13
79,27,115689,30
80,53,26111,19
81,31,52504,17
82,48,16802,63
83,65,23155,19
84,32,88656,92
85,25,54384,58
86,31,62254,55
87,40,36918,90
88,57,100981,90
89,38,75713,62
90,33,45306,23
91,62,31646,9
92,35,61843,12
93,64,111601,1
94,41,105735,58
95,43,31371,1
96,42,92371,34
97,62,17049,96
98,58,46616,48
99,46,118727,89
100,32,35932,1
101,62,44855,16
102,18,76434,61
103,42,87694,64
104,24,58016,63
105,26,22400,69
106,41,57642,22
107,18,30151,93
108,61,66407,67
109,25,81690,76
110,41,19499,26
111,28,21295,16
112,68,74040,51
113,34,27183,86
114,25,44299,57
115,52,27874,29
116,52,47711,78
117,50,20539,92
118,22,68351,69
119,59,76267,47
120,56,63354,94
121,58,17557,62
122,45,53360,69
123,24,97018,76
124,26,17200,16
125,25,83497,90
126,29,61975,90
127,51,36357,48
128,50,92505,85
129,65,17869,39
130,40,76135,100
131,41,65108,33
132,54,109179,94
133,52,105272,23
134,61,53467,10
135,57,38328,69
136,39,106412,100
137,44,101831,34
138,52,18987,52
139,18,73871,95
140,52,37399,10
141,54,61214,19
142,64,114522,58
143,31,101416,96
144,20,85271,1
145,18,59064,69
146,22,85091,4
147,43,55818,16
148,31,60525,24
149,56,34830,80
150,44,32429,2
151,26,21893,92
152,32,94909,32
153,32,62333,91
154,43,18436,84
155,59,89290,24
156,30,91213,12
157,68,20895,50
158,49,34738,35
159,56,45746,33
160,66,64377,33
161,69,63404,61
162,49,69045,51
163,21,112888,43
164,47,54790,12
165,54,20600,67
166,40,109660,65
167,56,108179,33
168,62,55764,40
169,32,89543,74
170,60,60714,43
171,46,71835,44
172,53,117946,29
173,30,88744,13
174,49,71491,12
175,24,33589,95
176,68,58484,46
177,39,97989,2
178,45,51212,35
179,19,58525,87
180,59,62202,81
181,62,47635,90
182,23,78208,8
183,45,48828,93
184,45,33711,26
185,61,18420,74
186,61,111752,90
187,37,15301,34
188,47,60236,7
189,28,81235,68
190,45,69240,58
191,42,80726,75
192,56,25492,29
193,50,116279,36
194,18,21102,89
195,44,65336,21
196,69,100314,36
197,30,41641,10
198,58,49584,73
199,20,47745,24
200,56,38093,64
